name,entries/usernames,entries/emails,breach_date
iBreatheMusic.com,0,17632,0000-00-00
forums.idcgames.com,0,199251,2019-12-00
Instantfuns,59270,24840,0000-00-00
SiliconIndia.com,0,797747,0000-00-00
GladiatorHits.com,0,8903,2017-11-00
BarefootConfidential.com,0,48693,0000-00-00
BuyMixtapes.com,0,32221,2017-11-00
EliteMeeting.com,0,551386,2015-01-00
VK,0,83786852,2012-01-01
forums.freegame2017.com,796969,851065,2019-12-00
Smavideo.com,6965,0,0000-00-00
Dalaran-WoW.com,49985,0,2018-05-00
ggcorp.me,234100,0,2019-12-00
Joyfun.com,365349,0,2019-00-00
WoWSolvus.es,274598,0,2017-03-00
VDragonball,91008,0,0000-00-00
mail.ru,0,4420521,2014-09-10
Vivagames.com,0,233960,0000-00-00
OVH,0,526145,2015-05-01
Last.fm,6328208,80504179,2012-07-22
Quidd.co (2019),124654,531057,2019-07-01
8fit.com,0,1120891,2018-07-01
ShareThis.com,0,73526635,2018-07-09
Ozon.ru,0,456158,2014-00-00
3DSISO.com,0,50479,2015-09-00
AarinFantasy.com,0,222420,2016-10-00
4m.net,0,42777,2016-00-00
4Metin.org,0,35218,0000-00-00
Amplitude-Studios.com,0,31903,2016-05-00
BCWars.com,0,98410,2011-03-00
Bistudio.com,0,170436,2016-04-00
ArmyForceOnline.com,0,924562,2016-05-18
BeatingBonuses.com,0,25436,2017-01-00
Bot of Legends,0,145547,2014-11-13
CDProjektRed.com,0,623161,2016-03-00
Cod247.com,0,19254,2016-02-00
Aipai.com,0,5122669,2016-09-27
CheapAssGamer.com,0,337126,2015-00-00
ChessHere.com,520108,0,2016-08-00
CorruptionX.com,0,101103,2014-10-00
CounterStrike.cn,0,332896,0000-00-00
DayZ.com,155383,167956,2016-04-00
CreativeScape.net,0,143728,2015-06-00
DCEmu.co.uk,0,416176,2015-10-00
DDO.com,1455263,1480764,2013-04-02
Diddl.pl,0,96908,0000-00-00
DoylesRoomPoker.com,0,47878,0000-00-00
EloBuddy.com,0,72330,2016-05-00
ExplosiveGaming.com,0,57402,2015-09-00
FlashFlashRevolution.com,1610581,1745683,2019-07-21
EuroMilhoes.com,0,17165,2015-05-00
FashionFantasyGame.com,0,2360256,2016-12-01
GamesBites.com,0,52841,2012-09-00
GamesForum.com,0,73552,2017-01-00
GameTurk.com,0,387680,2015-11-00
GamerzPlanet.net,0,882507,2015-10-00
Gamigo.com,0,8218576,2012-07-00
HLTV.org,274458,0,2016-06-00
I-Dressup.com,0,2197080,2016-08-00
ILikeCheats.com,0,133214,2015-05-00
Evony.com,2848821,28229208,2016-07-00
gPotato.com,0,1958448,2007-00-00
Gamevn.com,0,1003351,0000-00-00
HiveWorkShop.com,0,62582,2016-04-00
LucasForums.com,0,133252,2016-05-00
m2bob.net,165389,0,0000-00-00
MMOGames.com,0,86045,0000-00-00
MMOKings.com,0,82353,2015-00-00
Mumayi.com,0,14670,2011-05-00
MSPAforums.com,93800,237755,2016-03-00
NordicGames.at,0,594124,2016-03-00
OnVerse.com,600572,663468,2016-01-00
Pokebip.com,235534,703729,2015-07-28
OverPro.ru,0,79711,0000-00-00
OwnedCore.com,749181,788973,2013-08-00
PlayInter.com,0,142797,2016-08-00
PSPISO.com,0,885671,2015-09-25
PSX-Scene.com,0,264854,2016-05-00
RSBoards.com,0,127544,2013-08-00
RuneCrypt.com,0,23376,0000-00-00
Solomid.net,0,271266,2014-11-00
PS3Hax.net,0,314007,2015-07-01
Rewardit.com,0,95755,0000-00-00
TFPortal.de,0,6271,0000-00-00
Sythe.org,0,200542,2014-11-00
Tip.it,0,149591,2007-00-00
VIPenguin.com,0,38314,2016-07-00
WarcraftMovies.com,0,335388,2015-12-00
WarSeer.com,0,69524,2016-07-00
WiiUISO.com,0,273896,2015-09-00
Xbox-Scene.com,0,327517,2015-02-01
Xbox360ISO.com,0,1019700,2015-09-25
Xsyon.com,0,58785,2017-00-00
Zybez.net,0,106085,2016-02-00
17.media,0,1594775,2016-03-00
ABC.net.au,0,46984,2013-02-00
Anime-Planet.net,0,146570,2016-01-01
AnimuTank.com,0,71281,2016-01-00
AutoCentrum.pl,0,143482,2018-02-04
AutoHotKey.com,0,10915,2015-02-00
Avast.com,0,218474,2014-05-26
Badoo.com,0,121509728,2013-07-01
BitTorrent.com,0,16360,2016-01-00
BloggToppen.se,0,89436,0000-00-00
Bolt.cd,0,618524,2017-03-01
BTCF.fi,0,3220,2016-04-00
BTUN.net,0,111239,2013-00-00
CardingMafia.ws,0,28853,2016-02-00
ClickPay24.ru,0,2436,0000-00-00
CrackingForum.com,0,467399,2015-00-00
Daemon-Tools.сс,0,169884,0000-00-00
DaFont.com,0,661115,2017-05-16
DFB.de,0,2657556,0000-00-00
DrinkSite.com,0,179737,2016-00-00
Dropbox.com,0,25826246,2012-07-01
DTBooterCompilation,0,91856,0000-00-00
EAPMovies.com,0,73397,0000-00-00
EazySubs.com,0,24265,2011-10-00
Education.Zyxel.com,0,29068,0000-00-00
EliteFitness.com,0,334740,2015-12-00
Collection 1,21880472,231052257,2019-01-19
Eroticy.com,0,1534375,2015-06-00
EsandarecRuitment.com,0,9277,0000-00-00
FL.ru,0,113870,2015-02-00
FoN,0,26266,0000-00-00
ForumFree.it,0,892832,2016-06-00
FrumTeens.com,0,10932,0000-00-00
GiorGiotave.it,0,60083,0000-00-00
GratisGodis.se,0,254109,0000-00-00
HostSearch.com,0,55890,2015-10-00
Im286.net,0,334281,2016-11-00
InBoot.me,0,75813,2016-07-00
InterPals.net,0,2059053,2015-11-04
Izzit.org,0,224079,2016-02-00
Libero.it,0,417805,2016-07-00
LifeTip.iCross.co.kr,0,1045373,2017-04-00
LovingFerrets.com,0,134978,2016-02-00
MajorGeeks.com,0,173207,2015-11-15
MalwareBytes.org,48618,81304,2014-11-15
MangaFox.me,0,368497,2016-07-01
