leakname,entries,source
freegame2017.com,1816313,dataviper.io
forums.freegame2017.com,1815623,dataviper.io
F.Elex.com,1811915,dataviper.io
OnlyUniqueEmail,1792263,dataviper.io
imgur,1755559,dataviper.io
Flash Flash Revolution (2019),1749215,dataviper.io
2018 voters Nevada,1743937,dataviper.io
Antipublic MYRZ,1740889,dataviper.io
MineLand by cm,1728870,dataviper.io
yuu1.com,1712350,dataviper.io
Nihonomaru.net (Apr 2015),1697970,dataviper.io
CPRewritten,1688995,dataviper.io
club penguin rewritten.txt,1688780,dataviper.io
worldofwar.net,1687734,dataviper.io
zroad.me (01-2020),1674426,dataviper.io
1.5m Combo,1658743,dataviper.io
vipstore.com-full,1652465,dataviper.io
DDO.com (Feb 2013),1645529,dataviper.io
MeFeedia.com,1645429,dataviper.io
Nihonomaru,1630775,dataviper.io
ArmyForceOnline.com (June 2016),1628871,dataviper.io
ddo,1628262,dataviper.io
Eroticy.com,1598004,dataviper.io
DailyBooth.com,1581822,dataviper.io
nihonomaru.netk,1563796,dataviper.io
jagex.comk,1557093,dataviper.io
JCPenney.com (Sep 2006),1555955,dataviper.io
ClassPass.com,1554563,dataviper.io
htcmania.com (2020),1533316,dataviper.io
Comcast,1507104,dataviper.io
GameSalad.com,1499255,dataviper.io
hashiriya drifter #1 racing ios game,1498079,dataviper.io
iCracked.com,1486117,dataviper.io
Primegaming,1421704,dataviper.io
stalker.so,1419896,dataviper.io
WoWTCG.com,1405356,dataviper.io
HTCMania.com,1405167,dataviper.io
Gamevn.com (May 2016),1373478,dataviper.io
www.cityofvillains.com,1361810,dataviper.io
snail.com games.snail.com,1358630,dataviper.io
LOTRO.com,1346696,dataviper.io
tibia.net.pl 2016,1320993,dataviper.io
MangaFox,1308758,dataviper.io
grinderscape.org,1306848,dataviper.io
Xbox360ISO.com (Sep 2015),1280959,dataviper.io
forum.callofgods.com,1280077,dataviper.io
yingjiesheng.com,1272253,dataviper.io
nevada clark county voters 2019,1268413,dataviper.io
Yandex.ru,1261809,dataviper.io
ModaOperandi.com,1253885,dataviper.io
Carnival.com,1251901,dataviper.io
aternos.org,1241052,dataviper.io
kickstarter.com,1229363,dataviper.io
4000000Mail.ru,1223624,dataviper.io
mingjingnews.com,1215795,dataviper.io
GamsterBW SW  User IP,1212617,dataviper.io
wowprogress.comk 2018,1208699,dataviper.io
topbutton.com email pass july 8 2016,1208219,dataviper.io
TopButton.com (Jul 2016),1208181,dataviper.io
NextGenUpdate,1193180,dataviper.io
wowjutsu.com,1190169,dataviper.io
hltv.org,1170867,dataviper.io
703804.com (Nov 2012),1163162,dataviper.io
