dump_name,breach_date,record_count,info,source
reboot.hr,N/A,1230,N/A,Dehashed
ridgidforum.com,N/A,88757,N/A,Dehashed
rollspel.nu,N/A,3067,N/A,Dehashed
safespace.es,N/A,456,N/A,Dehashed
sanguefreddo.net,N/A,29733,N/A,Dehashed
scifi-forum.de,N/A,38916,N/A,Dehashed
scootersoftware.com,N/A,19941,N/A,Dehashed
scotland.com,N/A,24186,N/A,Dehashed
seattleminiowners.com,N/A,173,N/A,Dehashed
shockernet.net,N/A,11381,N/A,Dehashed
sierraothg.com,N/A,497,N/A,Dehashed
silanganpilipino.com,N/A,6640,N/A,Dehashed
simgamingnetwork.com,N/A,420,N/A,Dehashed
sledfreak.com,N/A,19467,N/A,Dehashed
snipersparadise.com,N/A,22296,N/A,Dehashed
socaluncensored.com,N/A,2898,N/A,Dehashed
socforum.com,N/A,4323,N/A,Dehashed
solosforum.com,N/A,19788,N/A,Dehashed
southafrica.com,N/A,4870,N/A,Dehashed
sparrowcloud9.com,N/A,421,N/A,Dehashed
specialkidsintheuk.org,N/A,4232,N/A,Dehashed
sspmustang.org,N/A,1886,N/A,Dehashed
staging.antroposofiekind.nl,N/A,1144,N/A,Dehashed
support.control-point.com,N/A,30,N/A,Dehashed
syfydesigns.com,N/A,53,N/A,Dehashed
sytyregistry.com,N/A,376,N/A,Dehashed
taskforcedingo.com,N/A,271,N/A,Dehashed
tc-cancer.com,N/A,11754,N/A,Dehashed
tenbyforum.co.uk,N/A,62,N/A,Dehashed
texasfbt.com,N/A,1209,N/A,Dehashed
theboard.f4wonline.com,N/A,31906,N/A,Dehashed
thechinforum.com,N/A,58116,N/A,Dehashed
thepetsforums.com,N/A,3606,N/A,Dehashed
thesafehouse.org,N/A,41483,N/A,Dehashed
thetrenchesforum.com,N/A,253,N/A,Dehashed
theworshipcommunity.com,N/A,1241,N/A,Dehashed
thunderbirdnest.com,N/A,11897,N/A,Dehashed
timefortuckerman.com,N/A,6529,N/A,Dehashed
torontogolfnuts.com,N/A,50882,N/A,Dehashed
totalgamingnetwork.com,N/A,22614,N/A,Dehashed
totalprotectioninteractive.com,N/A,2407,N/A,Dehashed
tschatter.com,N/A,405,N/A,Dehashed
ukraine.com,N/A,23464,N/A,Dehashed
uschoops.com,N/A,331,N/A,Dehashed
utkiken.net,N/A,7241,N/A,Dehashed
v2.offroad-bulgaria.com,N/A,176,N/A,Dehashed
vb.taylorcraft.org,N/A,3853,N/A,Dehashed
vintagehockeyforum.com,N/A,757,N/A,Dehashed
vintagers.org,N/A,223,N/A,Dehashed
vorshlag.com,N/A,828,N/A,Dehashed
vulcanriders.us,N/A,8022,N/A,Dehashed
waffen-welt.de,N/A,13791,N/A,Dehashed
wedg.millenniumweekend.org,N/A,66,N/A,Dehashed
wholebrainpowercoaching.com,N/A,573,N/A,Dehashed
wortkompass.de,N/A,378,N/A,Dehashed
writers-ark.com,N/A,247,N/A,Dehashed
writetoreel.com,N/A,46133,N/A,Dehashed
wvstreets.com,N/A,73,N/A,Dehashed
wwgym.com,N/A,56536,N/A,Dehashed
yamaha-xsr-forum.com,N/A,155,N/A,Dehashed
yamahaoutboardparts.com,N/A,38757,N/A,Dehashed
z31performance.com,N/A,10948,N/A,Dehashed
zouve.com,N/A,42215,N/A,Dehashed
zzrbikes.com,N/A,6231,N/A,Dehashed
acikogretim.gen.tr,N/A,213162,N/A,Dehashed
albshara.net,N/A,428,N/A,Dehashed
alnassrah.com,N/A,79036,N/A,Dehashed
arabalsahel.com,N/A,21278,N/A,Dehashed
ata-k.com,N/A,34317,N/A,Dehashed
behforum.com,N/A,257567,N/A,Dehashed
bookarchive.net,N/A,7334,N/A,Dehashed
bottingforce.com,N/A,13576,N/A,Dehashed
burnerclub.ru,N/A,21540,N/A,Dehashed
calaisturbo.com.au,N/A,7771,N/A,Dehashed
cashtalk.ir,N/A,2237,N/A,Dehashed
citroclubchile.cl,N/A,6006,N/A,Dehashed
clevermarkets.com,N/A,20653,N/A,Dehashed
coffeecionados.co.uk,N/A,17600,N/A,Dehashed
coffeefads.co.uk,N/A,17601,N/A,Dehashed
computertalk.ir,N/A,510,N/A,Dehashed
contest.co.nz,N/A,320824,N/A,Dehashed
defineyolu.club,N/A,37251,N/A,Dehashed
designforum.ru,N/A,7304,N/A,Dehashed
dogwalkbloggs.com,N/A,488,N/A,Dehashed
ecomservice.de,N/A,513,N/A,Dehashed
edunetcafe.com,N/A,85240,N/A,Dehashed
emruzi.com,N/A,4814,N/A,Dehashed
f150nation.com,N/A,406,N/A,Dehashed
facesittingforum.com,N/A,48343,N/A,Dehashed
filmhot.us,N/A,73044,N/A,Dehashed
fordrangerforum.com,N/A,1539,N/A,Dehashed
forum-irani.com,N/A,5293,N/A,Dehashed
forum.bieszczady.info.pl,N/A,2244,N/A,Dehashed
forum.jswelt.de,N/A,37991,N/A,Dehashed
forum.naghsh-negar.ir,N/A,4068,N/A,Dehashed
forum.poradnikzdrowie.pl,N/A,87852,N/A,Dehashed
forum.thanhhoafc.vn,N/A,339314,N/A,Dehashed
forumdate.ru,N/A,31822,N/A,Dehashed
forums.persianinoz.com,N/A,18205,N/A,Dehashed
fpv1.ru,N/A,1362,N/A,Dehashed
gentedirispetto.com,N/A,3972,N/A,Dehashed
geze-gen.com,N/A,1323,N/A,Dehashed
golfturkiye.net,N/A,10385,N/A,Dehashed
grailsforum.co.uk,N/A,88823,N/A,Dehashed
happy-team.org,N/A,5884,N/A,Dehashed
heavytruckforums.com,N/A,3,N/A,Dehashed
hindudharmaforums.com,N/A,14978,N/A,Dehashed
hpvliyiz.com,N/A,4702,N/A,Dehashed
ibizamania.gr,N/A,1122,N/A,Dehashed
indomoneytalk.com,N/A,45559,N/A,Dehashed
internationalhockey.net,N/A,2715,N/A,Dehashed
iranautomotive.net,N/A,9074,N/A,Dehashed
isme.edu.vn,N/A,48316,N/A,Dehashed
jeepn.com,N/A,8328,N/A,Dehashed
khogiare.com,N/A,1573,N/A,Dehashed
khuchotroi.com,N/A,1591,N/A,Dehashed
lust-treff.org,N/A,9256,N/A,Dehashed
luyentoeicvn.com,N/A,68247,N/A,Dehashed
m-hddl.com,N/A,526,N/A,Dehashed
magneticcash.net,N/A,3659,N/A,Dehashed
malaysia-forex.com,N/A,3643,N/A,Dehashed
metallifukinca.com,N/A,243,N/A,Dehashed
motorsportforum.com,N/A,48551,N/A,Dehashed
mwanahalisiforum.com,N/A,13869,N/A,Dehashed
myfiatworld.com,N/A,539,N/A,Dehashed
newenglandfastpitch.com,N/A,4,N/A,Dehashed
pcforum.biz,N/A,1091,N/A,Dehashed
piyanistler.net,N/A,335,N/A,Dehashed
primalcarnageforums.com,N/A,19575,N/A,Dehashed
psyforum.org,N/A,14473,N/A,Dehashed
rallyforum.com,N/A,48551,N/A,Dehashed
realtorforum.ru,N/A,5886,N/A,Dehashed
rockkrawler.org,N/A,440,N/A,Dehashed
scbist.com,N/A,16699,N/A,Dehashed
sochi-com.ru,N/A,6263,N/A,Dehashed
sooqaqar.com,N/A,1016,N/A,Dehashed
sportsfreaksonline.com,N/A,26,N/A,Dehashed
stangbangerz.com,N/A,17000,N/A,Dehashed
stripcreator.com,N/A,1,N/A,Dehashed
syndrome.ir,N/A,2788,N/A,Dehashed
techtrackers.net,N/A,9716,N/A,Dehashed
thebenchtrading.com,N/A,12990,N/A,Dehashed
thefixx.net,N/A,6,N/A,Dehashed
thegulfbiz.com,N/A,45863,N/A,Dehashed
txrcrca.com,N/A,1890,N/A,Dehashed
underdoglaw.com,N/A,31570,N/A,Dehashed
vsem.org.vn,N/A,949,N/A,Dehashed
worldmotorsport.com,N/A,48551,N/A,Dehashed
xoninet.com,N/A,12472,N/A,Dehashed
MonsterLead,N/A,83286983,N/A,Dehashed
Adapt.io,N/A,16215224,N/A,Dehashed
Appen,N/A,5888677,N/A,Dehashed
BigBasket,N/A,25562219,N/A,Dehashed
GayForum,N/A,13920,N/A,Dehashed
