Database Name,Database DL Link,Database URL Source,Captcha,Direct
"Heartbleed California (5262 Net Dumps, 810 Keys)",http://siph0n.net/exploits.php?id=4824,http://siph0n.net/leaks.php?page=2,,
"Heartbleed Colorado - (327 Net Dumps, 78 RSA Keys)",http://siph0n.net/exploits.php?id=4808,http://siph0n.net/leaks.php?page=2,,
"Heartbleed Texas (1080 Net Dumps, 332 RSA Keys)",http://siph0n.net/exploits.php?id=4806,http://siph0n.net/leaks.php?page=2,,
Hotfile.pw db/files,http://siph0n.net/exploits.php?id=4781,http://siph0n.net/leaks.php?page=2,,
htb.gov.ye,http://siph0n.net/exploits.php?id=1198,http://siph0n.net/leaks.php?page=13,,
htb.gov.ye,http://siph0n.net/exploits.php?id=1073,http://siph0n.net/leaks.php?page=14,,
http://000webhost.com/forum/,http://siph0n.net/exploits.php?id=4367,http://siph0n.net/leaks.php?page=6,,
http://1394store.com,http://siph0n.net/exploits.php?id=4760,http://siph0n.net/leaks.php?page=3,,
http://334bkn7o7ffp6p7a.onion - GOTMILK Pharmacy,http://siph0n.net/exploits.php?id=3832,http://siph0n.net/leaks.php?page=10,,
http://8teenxxx.com,http://siph0n.net/exploits.php?id=4546,http://siph0n.net/leaks.php?page=4,,
http://99Fame.com,http://siph0n.net/exploits.php?id=4521,http://siph0n.net/leaks.php?page=5,,
http://abc.es,http://siph0n.net/exploits.php?id=3839,http://siph0n.net/leaks.php?page=10,,
http://aboutus.sabay.com + SQLi,http://siph0n.net/exploits.php?id=992,http://siph0n.net/leaks.php?page=15,,
http://acme.in/,http://siph0n.net/exploits.php?id=4772,http://siph0n.net/leaks.php?page=2,,
http://ads.thaimisc.com,http://siph0n.net/exploits.php?id=4152,http://siph0n.net/leaks.php?page=8,,
http://aedyr.com,http://siph0n.net/exploits.php?id=4640,http://siph0n.net/leaks.php?page=4,,
http://aeromorning.com - 961 plaintext,http://siph0n.net/exploits.php?id=1828,http://siph0n.net/leaks.php?page=13,,
http://af.mil - Emails,http://siph0n.net/exploits.php?id=3808,http://siph0n.net/leaks.php?page=11,,
http://africanmedia.msu.edu + SQLi,http://siph0n.net/exploits.php?id=995,http://siph0n.net/leaks.php?page=15,,
http://agpestores.com,http://siph0n.net/exploits.php?id=4303,http://siph0n.net/leaks.php?page=7,,
http://akparti.org.tr - Emails,http://siph0n.net/exploits.php?id=4830,http://siph0n.net/leaks.php?page=2,,
http://allwomenstalk.com,http://siph0n.net/exploits.php?id=4358,http://siph0n.net/leaks.php?page=6,,
http://almotamar.net,http://siph0n.net/exploits.php?id=3788,http://siph0n.net/leaks.php?page=11,,
http://almotamar.net,http://siph0n.net/exploits.php?id=3788,http://siph0n.net/leaks.php?page=11,,
http://alwafd.org,http://siph0n.net/exploits.php?id=4984,http://siph0n.net/leaks.php,,
http://artemis-condo.com,http://siph0n.net/exploits.php?id=4342,http://siph0n.net/leaks.php?page=7,,
