dump_name,breach_date,record_count,source
nc.gov,2017-05-31,7444748,BreachDirectory
lycamobile.co.uk,2024-05-30,7415286,BreachDirectory
tailieu.vn,2020-04-22,7409096,BreachDirectory
zhenai.com,2019-04-08,7314470,BreachDirectory
euroschoolindia.com,2021-10-12,7310684,BreachDirectory
qzaem.ru,2024-05-23,7299074,BreachDirectory
sptrans.com.br,2021-02-03,7249641,BreachDirectory
xiaomi.com,2019-07-14,7087104,BreachDirectory
venmo.com,2019-07-12,7076657,BreachDirectory
omgpop.com,2020-04-06,7071969,BreachDirectory
drivesure.com,2021-05-13,7070072,BreachDirectory
gamesprite.me,2020-04-05,6976392,BreachDirectory
fotor.com,2020-10-23,6960623,BreachDirectory
cashcrate.com,2018-12-11,6895615,BreachDirectory
mypoints.com,2020-11-19,6834884,BreachDirectory
mods.com,2018-03-06,6760287,BreachDirectory
96pk.com,2020-12-10,6742548,BreachDirectory
subagames.com,2017-05-26,6703046,BreachDirectory
wakanim.tv,2022-11-24,6701394,BreachDirectory
adengi.ru,2024-04-04,6697479,BreachDirectory
androidlista.com,2021-09-30,6592434,BreachDirectory
gympass.com,2021-01-05,6522562,BreachDirectory
duelingnetwork.com,2019-08-20,6487336,BreachDirectory
stackoverflow.com,2019-02-03,6439871,BreachDirectory
cdsn.net,2017-04-05,6428633,BreachDirectory
eatstreet.com,2020-05-08,6402697,BreachDirectory
flytap.com,2024-06-21,6280782,BreachDirectory
shemarooent.com,2023-04-18,6225923,BreachDirectory
totaljerkface.com,2020-08-10,6208170,BreachDirectory
opensea.io,2024-11-01,6176070,BreachDirectory
indiamart.com,2021-09-14,6161866,BreachDirectory
ticketfly.com,2019-12-10,6151524,BreachDirectory
tapfly.com,2022-10-28,6114731,BreachDirectory
leet.cc,2017-03-08,6084277,BreachDirectory
toondoo.com,2019-10-28,6057852,BreachDirectory
movieboxpro.app,2025-01-04,6056814,BreachDirectory
kaixin001.com,2019-05-31,6018068,BreachDirectory
xat.com,2017-02-20,5937733,BreachDirectory
xatech.com,2018-03-12,5937733,BreachDirectory
exploretalent.com,2024-06-21,5924121,BreachDirectory
nexusmods.com,2021-10-20,5920919,BreachDirectory
reddoorz.com,2021-02-12,5892881,BreachDirectory
appen.com,2020-08-14,5888739,BreachDirectory
strongholdkingdoms.com,2019-10-31,5817899,BreachDirectory
scentbird.com,2020-08-04,5816040,BreachDirectory
mypertamina.id,2024-01-27,5768011,BreachDirectory
bankbsi.co.id,2024-04-26,5741104,BreachDirectory
gemini.com,2023-01-23,5701678,BreachDirectory
plu.cn,2020-05-15,5691850,BreachDirectory
soargames.com,2020-08-24,5686874,BreachDirectory
yatra.com,2022-02-15,5507285,BreachDirectory
thegioididong.com,2019-01-13,5489951,BreachDirectory
digido.ph,2024-04-02,5481446,BreachDirectory
estantevirtual.com.br,2019-12-06,5459527,BreachDirectory
burgerkingrus.ru,2024-11-05,5444507,BreachDirectory
pconline.com.cn,2019-04-01,5444480,BreachDirectory
bolshayaperemena.online,2024-01-31,5274262,BreachDirectory
risengames.me,2020-08-04,5233643,BreachDirectory
goninja.de,2020-01-09,5206805,BreachDirectory
vimeworld.ru,2020-10-23,5204489,BreachDirectory
kickstarter.com,2018-03-12,5177287,BreachDirectory
alpari.com,2018-03-06,5129999,BreachDirectory
ttnet.com.tr,2017-12-05,5119689,BreachDirectory
neverskip.com,2023-11-09,5051745,BreachDirectory
lookiero.com,2025-01-29,4988942,BreachDirectory
muzhiwan.com,2017-06-12,4920392,BreachDirectory
91huayi.com,2020-07-08,4909220,BreachDirectory
ripp.le,2019-04-01,4898920,BreachDirectory
jdbbx.com,2022-07-22,4896557,BreachDirectory
vakinha.co.br,2020-08-04,4877998,BreachDirectory
descomplica.com.br,2021-10-15,4850580,BreachDirectory
chqbook.com,2021-04-13,4810182,BreachDirectory
766.com,2020-09-21,4786345,BreachDirectory
renren.com,2017-04-02,4768626,BreachDirectory
moneybookers.com,2017-11-13,4736544,BreachDirectory
joygames.me,2020-08-04,4662174,BreachDirectory
gemplex.tv,2021-09-14,4624555,BreachDirectory
snapchat.com,2017-02-20,4609622,BreachDirectory
nexmods.com,2018-03-06,4548636,BreachDirectory
abfrl.com,2022-08-19,4491865,BreachDirectory
gaadi.com,2017-09-11,4491708,BreachDirectory
adecco.com,2024-04-09,4443806,BreachDirectory
audiusa.com,2024-09-16,4396677,BreachDirectory
peatix.com,2020-12-10,4347570,BreachDirectory
bloomstoday.com,2024-11-21,4332904,BreachDirectory
shacknews.com,2019-12-17,4310456,BreachDirectory
wongnai.com,2021-02-06,4298975,BreachDirectory
sport2000.fr,2024-09-23,4282428,BreachDirectory
uiggy.com,2017-10-23,4278872,BreachDirectory
kupivip.ru,2019-03-06,4244858,BreachDirectory
swvl.com,2020-08-04,4197424,BreachDirectory
crunchyroll.com,2024-10-08,4123572,BreachDirectory
avvo.com,2019-10-31,4105220,BreachDirectory
storybird.com,2020-11-25,4049940,BreachDirectory
manpower.co.uk,2022-04-11,4045281,BreachDirectory
roll20.net,2019-10-28,4007580,BreachDirectory
