"Myewards","Bcrypt"
"Pwiic","Bcrypt"
"Proctoru","Bcrypt"
"Vakinha.com.br","Bcrypt"
"Scentbird","Bcrypt"
"Appen","Bcrypt"
"Drizly","Bcrypt"
"Dave","Bcrypt"
"Swvl","Bcrypt"
"Mmsbee","Bcrypt"
"Yottapresto","Bcrypt"
"Paxel.co","Bcrypt"
"Letfan","Bcrypt"
"Blackspigot","Bcrypt"
"TheFappening.so","Bcrypt"
"Action-network","Bcrypt"
"Bitrewards","Bcrypt"
"Rbx.rocks","Bcrypt"
"Hocbaionha","Bcrypt"
"Kangaroo-Math.vn","Bcrypt"
"PokerCoaching","Bcrypt"
"Rbx.exchange","Bcrypt"
"B91.com","Bcrypt"
"Gody.vn","Bcrypt"
"Quidd","Bcrypt"
"K7Matht","Bcrypt"
"CaptainBitcoin.io","Bcrypt"
"Tamodo","Bcrypt"
"M-bet.co.tz","Bcrypt"
"E-pay.com.my","Bcrypt"
"AshleyMadison","Bcrypt"
"Dosninja","Bcrypt"
"Printi.com.br","Bcrypt"
"CpRewritten.net","Bcrypt"
"DataCamp","Bcrypt"
"Whitepages","Bcrypt"
"RichMonkey.biz","Bcrypt"
"Codementor.io","Bcrypt"
"ColorDatingapp","Bcrypt"
"Canva","Bcrypt"
"ScriptzNull.nl","Bcrypt"
"LuminPDF","Bcrypt"
"Roll20.net","Bcrypt"
"Tout","Bcrypt"
"Vedantu","Bcrypt"
"DailyMotion","Bcrypt"
"GateHub","Bcrypt"
"Poshmark","Bcrypt"
"8fit","Bcrypt"
"Dropbox_Bcrypt","Bcrypt"
"ComicBookDB","Bcrypt"
"Wattpad","Bcrypt/SHA256 Salted"
"Forums.xkcd.com","Bcrypt/PHPBB3/MD5"
"HauteLook","Bcrypt/MD5(PLAINSALT)"
"Usa.life","Bcrypt/SHA1"
"Battlefy","Bcrypt/SHA1(SALTPLAIN)"
"Foodora","Bcrypt/MD5 Salted"
"Masmusculo","Bcrypt/MD5 Salted"
"Bit.ly","Bcrypt/MD5 Salted"
"Hltv.org","Bcrypt/MD5 Salted"
"Datehotbrunettes","MD5/Bcrypt"
"Vimeworld","MD5/Bcrypt"
"Tabakland","MD5/Bcrypt"
"E-learning.econt-bg.com","MD5/Bcrypt"
"AlpineReplay","MD5/Bcrypt"
"Kingdomcraze","MD5/Bcrypt"
"EpicChannel","MD5/Bcrypt"
"Wanelo","MD5/Bcrypt"
"CardMarket","MD5/Bcrypt"
"Ulmon","BcryptSHA1"
"Minted","BcryptMD5"
"Forum.fsgames.com","BcryptMD5"
"Vb.Stalker.so","BcryptMD5"
"Zooville.org","BcryptMD5"
"Edmodo","BcryptMD5"
"Ggmania","MD5CRYPT/DESCRYPT/MD5"
"Chronicle","MD5CRYPT/DESCRYPT/SHA512CRYPT"
"Myprivateangels","MD5CRYPT"
"Muleyfreak","MD5CRYPT"
"Utahgunexchange","MD5CRYPT"
"Godsgirls","MD5CRYPT"
"Studytonight","MD5CRYPT"
"Easyexpat","MD5CRYPT"
"Webkinz","MD5CRYPT"
"Exerion.pl","MD5CRYPT"
"Morele","MD5CRYPT"
"Kssip.gov.pl","MD5 Salted"
"More.tv","MD5 Salted"
"Webzen","MD5(SALTPLAIN)"
"CashCrate","MD5(SALTPLAIN)"
"StockX","MD5(SALTPLAIN)"
"Mathway-v2","MD5(PLAINSALT)/MD5"
"Funded","MD5(PLAINSALT)/Plaintext"
"Rzd-bonus.ru","MD5(PLAINSALT)"
"Onthionline.net","MD5(PLAINSALT)"
"Ikov","MD5(PLAINSALT)"
"Lifebear","MD5(PLAINSALT)"
"Toondoo","MD5(PLAINSALT)"
"Mega-Torrent.ru","MD5(PLAINSALT)"
"Cardmafia.cc","MD5(MD5(SALT)MD5(MD5(PLAIN)))"
"Xyya.net","MD5X2"
"Kolyan.net","MD5X2"
"Vkmix","MD5X2"
"StreamCraft.net","MD5X2"
"Aternos.org","MD5(SHA1(SALT)MD5(PLAIN))"
"Jd.com","MD5/SHA1-Salted"
"DeerCase","MD5/SHA1-Salted"
"Uniondeexportadores","MD5/SHA1"
"WeHeartIt","MD5/SHA256(PLAINSALT)"
"Click.org","MD5"
"Yam.com","MD5"
"Bookchor","MD5"
"Dark-wind","MD5"
"Albumwash","MD5"
"Buscadorprop.com.ar","MD5"
"Nmmoney.xyz","MD5"
"Rds.it","MD5"
"Wongnai","MD5"
"Travelok","MD5"
"Learnfrenchbypodcast","MD5"
"Leadpower","MD5"
"Bbgpoint","MD5"
"Diet","MD5"
"Amazepromos","MD5"
"Memorybreak","MD5"
"Mmarmy.org","MD5"
"Joga-Joga.pl","MD5"
"Brasileirinhas.com.br","MD5"
"IIMJobs","MD5"
"Clubdoingresso","MD5"
"123rf.com","MD5"
"Eskimi","MD5"
"Eatigo-v2","MD5"
"Eatigo","MD5"
"Glofox","MD5"
"Reincubate-v2","MD5"
"Darkspace.net","MD5"
"Thewinkstore","MD5"
"PromoFarma","MD5"
"Rongshuxia","MD5"
"Storelp.ru","MD5"
"ShortTask","MD5"
"Knowyourcollege-gov.in","MD5"
"Topragnarok.com.br","MD5"
"Carajkumarrathi","MD5"
"Caprco.in","MD5"
"Casamudar.in","MD5"
"Alkesznevelde.zolesz.hu","MD5"
"HelloTravel","MD5"
"Unit.br","MD5"
"Pampling","MD5"
"Truefire","MD5"
"Hurb","MD5"
"Agusiq-torrents.pl","MD5"
"Lifetip.icross.co.kr","MD5"
"LiveAuctioneers","MD5"
"Funfacecam","MD5"
"Canal-educatif.fr","MD5"
"Nexva","MD5"
"Yanolja","MD5"
"Weddbook","MD5"
"Dressupgirl.net","MD5"
"Wishbone.io","MD5"
"Mefeedia","MD5"
"Petflow","MD5"
"Superteachertools.us","MD5"
"Cryptostar.asia","MD5"
"Rabota.bg","MD5"
"Fivetier","MD5"
"Mobifriends","MD5"
"Ingyenszexfilmek","MD5"
"Tailieu.vn","MD5"
"Mactorrent.co","MD5"
"PropTiger","MD5"
"Ongab.ru","MD5"
"VipStore","MD5"
"BTC60.net","MD5"
"EliteFitness","MD5"
"ArmyForceOnline","MD5"
"TSCprinters","MD5"
"TridentCryptoFund","MD5"
"PlanetMinecraft","MD5"
"Sjovt","MD5"
"SpinmasterGames","MD5"
"PassionsNetwork","MD5"
"Budvarealestate","MD5"
"NewSeaSims-2020","MD5"
"NeoSeeker","MD5"
"DuelingNetwork","MD5"
"Evony2","MD5"
"MortalOnline","MD5"
"Readnovel","MD5"
"Baihe","MD5"
"SumoTorrent.sx","MD5"
"Stripcreator","MD5"
