"UserCount","YearBreached","Domain","Name"
"41,960","2019","ordineavvocatiroma.it","Ordine Avvocati di Roma"
"173,891","2015","phpfreaks.com","PHP Freaks"
"104,977","2016","bluesnap.com","Regpack/Bluesnap"
"285,191","2014","sumotorrent.sx","Sumo Torrents"
"134,047","2012","whmcs.com","WHMCS"
"890,341","2016","xpgamesaves.com","XPG (XPGamesaves)"
"22,437,749","2018","animoto.com","Animoto"
"6,840,339","2019","stockx.com","StockX"
"15,025,407","2018","8fit.com","8fit"
"396,533","2019","minehut.com","Minehut Emails"
"2,848,245","2019","gatehub.net","GateHub"
"17,204,697","2019","ixigo.com","ixigo"
"36,395,491","2018","poshmark.com","Poshmark"
"11,657,763","2016","whitepages.com","WhitePages"
"28,364,826","2019","mindjolt.com","MindJolt"
"91,991,358","2017","myheritage.com","MyHeritage"
"3,994,436","2018","roll20.net","Roll20"
"1,128,031","2018","onlinebloodbank.com","OnlineBloodBank"
"39,721,127","2018","chegg.com","Chegg"
"29,242,615","2018","shein.com","Shein"
"2,100,000","2019","over-blog.com","Overblog"
"5,187,305","2018","strongholdkingdoms.com","Stronghold Kingdoms"
"41,028,098","2018","sharethis.com","ShareThis"
"20,014,351","2018","eyeem.com","EyeEm"
"1,476,293","2019","hongfire.com","HongFire 2019"
"40,544,377","2017","younow.com","YouNow"
"651,104","2014","dominos.com","Domino's"
"833,919","2019","epicbot.com","EpicBot"
"668,421","2016","gpsunderground.com","GPS Underground"
"545,056","2018","hthstudios.com","HTH Studios"
"11,071,954","2018","jobandtalent.com","Jobandtalent"
"24,386,039","2019","luminpdf.com","Lumin PDF"
"7,523,477","2019","michigan.gov","Michigan Voters 2019"
"712,732","2014","policeone.com","PoliceOne"
"6,002,694","2019","toondoo.com","ToonDoo"
"686,899","2019","vedantu.com","Vedantu"
"23,188,883","2018","wanelo.com","Wanelo"
"220,000,209","2016","adultfriendfinder.com","Adult Friend Finder 2016"
"1,079,831","2019","artsy.net","Artsy"
"172,869,660","2019","zynga.com","Zynga"
"71,407","2019","zooville.org","ZooVille"
"3,930,439","2019","gogames.me","Go Games"
"3,866,745","2017","legendas.tv","LegendasTV"
"28,510,459","2018","hautelook.com","HauteLook"
"4,105,095","2018","avvo.com","Avvo"
"760,642","2018","datacamp.com","DataCamp"
"137,525,858","2019","canva.com","Canva"
"10,683,189","2019","mgmresorts.com","MGMResorts"
"478,824","2017","coinmama.com","CoinMama"
"620,677","2015","ffshrine.org","Final Fantasy Shrine"
"1,435,329","2020","animegame.me","AnimeGame"
"1,571,996","2020","htcmania.com","HTCMania"
"14,870,303","2018","500px.com","500px"
"2,303,891","2016","armyforceonline.com","Army Force Online"
"994,515","2017","bolt.cd","Bolt.CD"
"1,716,337","2018","cprewritten.net","Club Penguin Rewritten"
"1,604,644","2016","f.elex.com","Elex"
"277,842","2016","epicgames.com","Epic Games"
"143,606,147","2018","myfitnesspal.com","MyFitnessPal"
"200,551","2020","ogusers.com","OGusers 2020"
"7,071,893","2019","omgpop.com","OMGPop"
"200,000","2019","ongab.ru","Ongab"
"2,156,921","2018","proptiger.com","PropTiger"
"1,052,836","2016","shotbow.net","Shotbow"
"3,520,000","2015","sprashivai.ru","Sprashivai (Спрашивай.ру)"
"494,907","2020","tamodo.com","Tamodo"
"2,013,511","2012","forums.thewarinc.com","TheWarInc"
"442,513","2014","solomid.net","Team Solomid"
"8,195,146","2016","tunngle.net","Tunngle"
"202,683","2013","win7vista.com","Win7Vista Forum"
"562,120","2019","forums.xkcd.com","XKCD Forums"
"3,206,382","2017","swordfantasy.com","Sword Fantasy Online"
"6,486,626","2017","duelingnetwork.com","Dueling Network"
"3,954,415","2019","quidd.co","Quidd"
"22,982,319","2020","webkinz.com","Webkinz"
"226,095","2019","europa.jobs","europa.jobs"
"17,275,087","2014","hiapk.com","HiAPK"
"3,688,059","2020","mobifriends.com","MobiFriends"
"24,451,312","2016","justdate.com","JustDate"
"2,447,186","2016","vtightgel.com","V-Tight Gel"
"5,788","2013","astropid.com","Astropid"
"102,095","2018","bitmain.com","Bitmain"
"22,327","2020","cryptostar.asia","CryptoStar"
"4,848,734","2011","dangdang.com","DangDang"
"4,934,860","0000","gov.ge","Georgian (Country","Citizenship"
"562,213","2015","heroesofgaia.com","Heroes of Gaia"
"50,693","2020","hocbaionha.com","Hocbaionha"
"42,000,000","2020","tci.ir","Iranian 2020 Telegram+Instagram Scraped Data"
"4,571,338","2012","silkroadonline.net","Silkroad Online Game"
"45,018","2013","loungeboard.net","LoungeBoard"
"109,202","2017","lyricsmania.com","Lyrics Mania"
"1,535,473","2016","nival.com","Nival"
"800,157","2016","onverse.com","Onverse"
"62,261","2019","planetcalypsoforum.com","Planet Calypso"
"1,274,070","2015","pspiso.com","PSP ISO"
"341,118","2015","psx-scene.com","PSX-Scene"
"149,958","2018","rbx.rocks","Rbx.Rocks"
"117,070","2016","sktorrent.eu","SkTorrent"
"386,489","2017","smogon.com","Smogon"
"254,867","2015","sweclockers.com","SweClockers"
"238,551","2018","technicpack.net","Technic Minecraft"
"2,239","2014","tesco.com","Tesco Pastebin Dump"
"179,030","2015","thefappening.so","The Fappening"
"181,871","2017","thetvdb.com","TheTVDB"
"4,278,871","2016","uiggy.com","Uiggy"
"564,962","2019","universarium.org","Universarium Russian"
"7,485,802","2016","uuu9.com","UUU9"
"16,919","2014","verified.cm","Verified.CM"
"738,556","2015","wildstar-online.com","Wild Star"
"148,366","2014","wptapl.com","World Poker"
"1,296,959","2015","xbox360iso.com","Xbox360ISO"
"1,499,335","2019","gamesalad.com","GameSalad"
"48,881,308","2018","houzz.com","Houzz"
"33,717,787","2014","livejournal.com","LiveJournal"
"96,910","2015","mac-torrents.com","Mac Torrents"
"902,901","2014","mangatraders.com","MangaTraders"
"89,428","2019","specials.mastercard.de","Mastercard Priceless Specials"
"16,034","2015","minecraftpeforum.net","Minecraft Pocket Edition"
"44,005,133","2013","jazz.com.pk","Mobilink Pakistan"
"366,140","2016","mrexcel.com","MrExcel"
"252,751","2015","myrepospace.com","MyRepoSpace"
"992,771","2020","petflow.com","Petflow"
"43,617","2020","nulled.ch","NulledForums / NulledCH"
"5,460","2020","sinfulsite.com","SinfulSite"
"288","2020","suxx.to","SuxxTO"
"455","2020","makestation.net","MakeStation"
"296","2020","mybbdizayn.com","MyBBDizayn"
"5,930","2020","ptsrp.pl","Polish Trans Server (GTA RP)"
"6,590","2020","sneaker-groups.com","Sneaker-Groups"
"6,353,564","2019","eatstreet.com","EatStreet"
"3,589,924","2018","zoomcar.com","Zoomcar"
"727,720","2019","foodora.com","Foodora"
"3,683,592","2019","lifebear.com","LifeBear"
"41,421,861","2020","wishbone.io","Wishbone"
"12,574,326","2017","tgbus.com","TGBUS"
"2,325,283","2018","elanic.in","Elanic"
"327,547","2016","mac-forums.com","Mac-Forums"
"94,991","2020","vianet.com.np","Vianet"
"248,033","2018","pixelmonmod.com","PixelmonMod"
"1,446,306","2020","stalker.so","Stalker Online"
"100,985,047","2013","evite.com","Evite"
"1,370,175","2015","eroticy.com","Eroticy"
"71,324,917","2020","tokopedia.com","Tokopedia"
"880,331","2013","ownedcore.com","OwnedCore"
"514,050","2015","foxitsoftware.com","FoxIT Software Forums"
"442,534","2020","konga.com","Konga Shopping"
"160,106","2018","bitmax.io","Bitmax BTMX"
"763,117,241","2019","verifications.io","Verifications"
"268,765,495","2020","wattpad.com","Wattpad"
"988,374","2020","alpinereplay.com","AlpineReplay"
"5,888,405","2020","appen.com","Appen"
"2,428,668","2020","bhinneka.com","Bhinneka"
"2,520,441","2020","chatbooks.com","Chatbooks"
"2,964,182","2020","dave.com","Dave"
"2,479,044","2020","drizly.com","Drizly"
"1,298,651","2020","ggumim.co.kr","GGumim (집꾸미기)"
"1,369,180","2020","havenly.com","Havenly"
"20,727,771","2019","hurb.com","Hurb"
"768,890","2020","kreditplus.com","Kreditplus"
"3,385,862","2020","liveauctioneers.com","LiveAuctioneers"
"25,865,619","2020","mathway.com","Mathway"
"119,948","2016","mcbans.com","MCBans"
"2,785,767","2020","omaze.com","Omaze"
"444,453","2020","proctoru.com","ProctorU"
"14,610,585","2020","promo.com","Promo"
"133,814","2020","rewardstyle.com","RewardStyle"
"5,814,988","2020","scentbird.com","ScentBird"
"5,884,766","2017","subagames.com","SubaGames 2017"
"4,195,918","2020","swvl.com","SWVL"
"599,667","2020","truefire.com","TrueFire"
"777,769","2020","ulmon.com","Ulmon"
"4,775,203","2020","vakinha.com.br","Vakinha"
"1,444,676","2020","yotepresto.com","YotePresto"
"23,927,853","2020","zoosk.com","Zoosk 2020"
"3,465,259","2019","dunzo.com","Dunzo"
"692,310","2019","actionnetwork.com","ActionNetwork"
"53,555","2018","flyairlink.com","Airlink Databreach"
"99,309,091","2018","apollo.io","Apollo"
"423,749","2020","bitrewards.com","BitRewards"
"114,463","2020","brandnewtube.com","BrandNewTube"
"13,920","2020","gayforum.com","GayForum"
"1,541,284","2020","jamesdelivery.com.br","JamesDelivery"
"561,492","2017","jeux-fille-gratuit.com","JeuxFilleGratuit"
"1,077,930","2020","k7maths.com","K7Maths"
"500,000","2020","mashable.com","Mashable"
"4,418,182","2020","minted.com","Minted"
"5,404,326","2017","newmeet.com","Newmeet/Abcoeur"
