dump_name,record_count,index_date,source
nute.ufsc.br,43081,2017-02-20,Leak-Lookup
battlefieldheroes.com,548774,2017-02-20,Leak-Lookup
altisrp.fr,31155,2017-02-20,Leak-Lookup
ichatasia.com,9798,2017-02-20,Leak-Lookup
lotro.com,1358359,2017-02-20,Leak-Lookup
buxoverflow.com,11887,2017-02-20,Leak-Lookup
eyeofdubai.ae,1625,2017-02-20,Leak-Lookup
jmprime.co.uk,834,2017-02-20,Leak-Lookup
xat.com,5937733,2017-02-20,Leak-Lookup
healers.co.uk,0,2017-02-20,Leak-Lookup
mcstatus.info,1324,2017-02-20,Leak-Lookup
pbemtracker.com,0,2017-02-20,Leak-Lookup
svmarriageslinks.com,1212,2017-02-20,Leak-Lookup
dfb.de,25820306,2017-02-20,Leak-Lookup
fiestafan.com,14051,2017-02-20,Leak-Lookup
i-dressup.com,2211049,2017-02-20,Leak-Lookup
scam.com,843604,2017-02-20,Leak-Lookup
vathorst.nu,0,2017-02-20,Leak-Lookup
aternos.org,1241054,2017-02-20,Leak-Lookup
experian.com,27835945,2017-02-20,Leak-Lookup
neopets.com,68757345,2017-02-20,Leak-Lookup
ownedcore.com,889593,2017-02-20,Leak-Lookup
ichatusa.com,61990,2017-02-20,Leak-Lookup
tamilarena.com,10,2017-02-20,Leak-Lookup
tumblr.com,73386913,2017-02-20,Leak-Lookup
huashan1914.com,0,2017-02-20,Leak-Lookup
ezay.com.mm,865,2017-02-20,Leak-Lookup
ejhb.info,12911,2017-02-20,Leak-Lookup
goudpelli.com,0,2017-02-20,Leak-Lookup
mpgh.net,2519364,2017-02-20,Leak-Lookup
powerpulse.net,694,2017-02-20,Leak-Lookup
chromeplay.com,9723,2017-02-20,Leak-Lookup
brazzers.com,928072,2017-02-20,Leak-Lookup
armyforceonline.com,2465663,2017-02-20,Leak-Lookup
gt-uk.net,0,2017-02-20,Leak-Lookup
wesnoth.gamingladder.info,0,2017-02-20,Leak-Lookup
business4sale.co.uk,8666,2017-02-20,Leak-Lookup
flux.org,0,2017-02-20,Leak-Lookup
opensc.ws,28385,2017-02-20,Leak-Lookup
funplusgame.com,71069,2017-02-20,Leak-Lookup
xtra-interim.be,153,2017-02-20,Leak-Lookup
anonymous-stresser.net,847,2017-02-20,Leak-Lookup
gta5base.com,5278,2017-02-20,Leak-Lookup
mate1.com,14432980,2017-02-21,Leak-Lookup
ahashare.com,296862,2017-02-21,Leak-Lookup
ubisoft.com,1540732,2017-02-21,Leak-Lookup
binweevils.com,1022883,2017-02-21,Leak-Lookup
anon-hackers.com,9268,2017-02-22,Leak-Lookup
admindiscussion.com,11669,2017-02-22,Leak-Lookup
ccbox.cc,1969,2017-02-22,Leak-Lookup
anonproducts.in,710,2017-02-22,Leak-Lookup
loungeboard.com,92,2017-02-22,Leak-Lookup
forumru,157112,2017-02-23,Leak-Lookup
last.fm,43571231,2017-02-23,Leak-Lookup
lastgami,16727,2017-02-24,Leak-Lookup
asianjammarket,357,2017-02-24,Leak-Lookup
spoilthedead.com,31310,2017-02-26,Leak-Lookup
abandonia.com,782609,2017-02-26,Leak-Lookup
1on1wholesale.co.uk,14090,2017-02-26,Leak-Lookup
360icons.com,101883,2017-02-26,Leak-Lookup
amzreviewtrader.com,25960,2017-02-27,Leak-Lookup
linuxmint.com,144716,2017-02-27,Leak-Lookup
mangatraders.com,902900,2017-02-27,Leak-Lookup
bitcointalk.com,499594,2017-02-27,Leak-Lookup
17.media,28052322,2017-02-27,Leak-Lookup
wildstar-online.com,742394,2017-02-28,Leak-Lookup
blackmarketreloaded,332134,2017-02-28,Leak-Lookup
c0rrupt.net,338,2017-02-28,Leak-Lookup
codecommunity.com,346,2017-02-28,Leak-Lookup
bcwars.com,101660,2017-02-28,Leak-Lookup
cardingcarding,1521,2017-02-28,Leak-Lookup
cloudstresser.com,141,2017-02-28,Leak-Lookup
booter.tw,313,2017-02-28,Leak-Lookup
catiewayne.com,23926,2017-02-28,Leak-Lookup
callofchampions.com,1086,2017-02-28,Leak-Lookup
iwbz1337ipb,5072,2017-03-04,Leak-Lookup
cyberdbs.com,17979,2017-03-04,Leak-Lookup
myrepospace.com,252739,2017-03-04,Leak-Lookup
vodafone.co.uk,77228,2017-03-04,Leak-Lookup
comcast.net,617561,2017-03-08,Leak-Lookup
leet.cc,6084277,2017-03-08,Leak-Lookup
accountrs.com,8864,2017-03-08,Leak-Lookup
powerbot.com,504840,2017-03-16,Leak-Lookup
leakforums.sx,2978,2017-03-16,Leak-Lookup
lizardstresser.su,12936,2017-03-19,Leak-Lookup
muslimmatch.com,148254,2017-03-19,Leak-Lookup
212300.com,700673,2017-03-19,Leak-Lookup
cyberdeathsquad.com,708,2017-03-19,Leak-Lookup
cmdbooter.com,1632,2017-03-19,Leak-Lookup
savingadvice.com,187686,2017-03-19,Leak-Lookup
cannabis.com,227747,2017-03-19,Leak-Lookup
dragonnest.com,3222603,2017-03-24,Leak-Lookup
anonymoustruthers.com,154,2017-03-24,Leak-Lookup
customcombatgaming.com,8546,2017-03-24,Leak-Lookup
infecteddb,1767,2017-03-24,Leak-Lookup
nodusgriefing.com,50423,2017-03-24,Leak-Lookup
controlbooter,5,2017-03-24,Leak-Lookup
gamingxploited.net,24,2017-03-24,Leak-Lookup
illuminati.ws,1742,2017-03-24,Leak-Lookup
dnastu,137,2017-03-24,Leak-Lookup
hazardstresser.tk,80,2017-03-24,Leak-Lookup
longislandhosting.us,7,2017-03-24,Leak-Lookup
freshtools.ws,6899,2017-03-24,Leak-Lookup
linkedhosting.bloc.net,163930,2017-03-24,Leak-Lookup
lustpur,2,2017-03-24,Leak-Lookup
pardeevillecarshow.com,11391,2017-03-24,Leak-Lookup
skyll.net,1101,2017-03-24,Leak-Lookup
sea.sy,4352,2017-03-24,Leak-Lookup
secotrinddos,3,2017-03-24,Leak-Lookup
sidefx.com,130068,2017-03-24,Leak-Lookup
stealth-stresser.com,28,2017-03-24,Leak-Lookup
playhabz.com,231,2017-03-24,Leak-Lookup
toolzgang.pro,21,2017-03-24,Leak-Lookup
tangostr.com,1657,2017-03-24,Leak-Lookup
rsnl.eu,10279,2017-03-24,Leak-Lookup
totalbooter.net,8,2017-03-24,Leak-Lookup
nulled.io,599086,2017-03-24,Leak-Lookup
warezfusion.org,16213,2017-03-24,Leak-Lookup
toptenhen.com,563,2017-03-24,Leak-Lookup
badoo.com,127380528,2017-03-24,Leak-Lookup
traveltacoma.com,9933,2017-03-24,Leak-Lookup
zoosk.com,72141031,2017-03-29,Leak-Lookup
majorgeeks.com,267650,2017-03-29,Leak-Lookup
zxmail.ru,22249,2017-03-29,Leak-Lookup
adultfriendfinder.com,222417821,2017-03-29,Leak-Lookup
000webhost.com,15271696,2017-03-29,Leak-Lookup
lbsg.net,11870146,2017-03-30,Leak-Lookup
thezootube.com,3191,2017-03-30,Leak-Lookup
allwomenstalk.com,139952,2017-03-30,Leak-Lookup
thefappening.so,179105,2017-03-30,Leak-Lookup
xbox360iso.com,1294729,2017-03-30,Leak-Lookup
r2games.com,23113328,2017-03-30,Leak-Lookup
forbes.com,1071964,2017-03-30,Leak-Lookup
gamerzplanet.net,1215133,2017-03-30,Leak-Lookup
