"breachdates","published_mo_yr","domain","hacker","records","sourcetype"
"2019-01-02T00:00:00.000Z","2019-01-01T00:00:00.000Z","ccbg.com",,,"official"
"2017-05-12T00:00:00.000Z","2017-09-01T00:00:00.000Z","frontiercooperative.com",,,"official"
"2017-11-15T00:00:00.000Z","2018-01-01T00:00:00.000Z","myflorida.com",,,"news"
"2017-10-13T00:00:00.000Z","2018-01-01T00:00:00.000Z","tnvalleytitle.com",,,"official"
"2017-01-16T00:00:00.000Z","2017-04-01T00:00:00.000Z","jhvglaw.com",,,"official"
"2018-01-01T00:00:00.000Z","2018-10-01T00:00:00.000Z","ers.texas.gov","",0,"news"
"2018-09-26T00:00:00.000Z","2018-11-01T00:00:00.000Z","elliothospital.org",,,"official"
"2016-12-27T00:00:00.000Z","2017-04-01T00:00:00.000Z","bahinc.com","",0,"news"
"2018-05-29T00:00:00.000Z","2018-07-01T00:00:00.000Z","fruitfulyield.com",,,"official"
"2017-04-12T00:00:00.000Z","2017-07-01T00:00:00.000Z","whitinger.com",,,"official"
"2018-08-07T00:00:00.000Z","2018-12-01T00:00:00.000Z","beechercarlson.com",,,"official"
"2016-07-02T00:00:00.000Z","2017-02-01T00:00:00.000Z","mdfinstruments.com",,,"official"
"2018-10-15T00:00:00.000Z","2019-05-01T00:00:00.000Z","forthealthcare.com","",0,"news"
"2018-09-28T00:00:00.000Z","2018-10-01T00:00:00.000Z","usli.com",,,"official"
"2015-03-01T00:00:00.000Z","2017-02-01T00:00:00.000Z","colliercompanies.com",,,"news"
"2017-07-10T00:00:00.000Z","2017-07-01T00:00:00.000Z","wellness.unknown","",0,"official"
"2014-10-22T00:00:00.000Z","2017-07-01T00:00:00.000Z","rebeccaminkoff.com",,,"news"
"2018-12-05T00:00:00.000Z","2019-04-01T00:00:00.000Z","landmsupply.com",,,"official"
"2017-05-22T00:00:00.000Z","2017-10-01T00:00:00.000Z","prohealthcare.com",,,"official"
"2019-04-16T00:00:00.000Z","2019-04-01T00:00:00.000Z","volcanoecigs.com",,,"official"
"2019-04-10T00:00:00.000Z","2019-04-01T00:00:00.000Z","northernlighthealth.org",,,"news"
"2017-12-15T00:00:00.000Z","2017-12-01T00:00:00.000Z","hmhco.com",,,"news"
"2017-01-24T00:00:00.000Z","2017-01-01T00:00:00.000Z","tipton-county.com",,,"news"
"2017-10-31T00:00:00.000Z","2017-11-01T00:00:00.000Z","bc.com",,,"official"
"2017-03-16T00:00:00.000Z","2017-04-01T00:00:00.000Z","motlaccounting.com",,,"official"
"2018-09-07T00:00:00.000Z","2018-10-01T00:00:00.000Z","northwesternmutual.com",,,"official"
"2018-02-12T00:00:00.000Z","2018-02-01T00:00:00.000Z","midlandisd.net",,,"news"
