dump_name,breach_date,record_count,source
Amplitude-Studios.com,2016-04,143792,LeakCheck.io
BCWars.com,2011-02,98396,LeakCheck.io
Bistudio.com,2016-03,170433,LeakCheck.io
ArmyForceOnline.com,2016-05,1123373,LeakCheck.io
BeatingBonuses.com,2016-12,25436,LeakCheck.io
Bot of Legends,2014-11,192402,LeakCheck.io
CDProjektRed.com,2016-02,1871337,LeakCheck.io
Cod247.com,2016-01,19253,LeakCheck.io
Aipai.com,2016-09,5122661,LeakCheck.io
CheapAssGamer.com,2014-11,385228,LeakCheck.io
CorruptionX.com,2014-09,101103,LeakCheck.io
CounterStrike.cn,,340655,LeakCheck.io
DayZ.com,2016-03,206537,LeakCheck.io
CreativeScape.net,2015-05,143728,LeakCheck.io
DCEmu.co.uk,2015-09,416166,LeakCheck.io
DDO.com,2013-04,1603575,LeakCheck.io
Diddl.pl,,96906,LeakCheck.io
DoylesRoomPoker.com,,47878,LeakCheck.io
EloBuddy.com,2016-04,72324,LeakCheck.io
ExplosiveGaming.com,2015-08,57401,LeakCheck.io
FlashFlashRevolution.com,2019-07,1908679,LeakCheck.io
EuroMilhoes.com,2015-04,17165,LeakCheck.io
FashionFantasyGame.com,2016-12,2360253,LeakCheck.io
GamesBites.com,2012-08,52841,LeakCheck.io
GamesForum.com,2016-12,73550,LeakCheck.io
GameTurk.com,2015-10,699253,LeakCheck.io
GamerzPlanet.net,2015-09,1215161,LeakCheck.io
Gamigo.com,2012-06,8217089,LeakCheck.io
I-Dressup.com,2016-07,2197078,LeakCheck.io
ILikeCheats.com,2015-04,197159,LeakCheck.io
Evony.com,2016-06,28920036,LeakCheck.io
gPotato.com,2006-11,2139094,LeakCheck.io
Gamevn.com,,1367414,LeakCheck.io
HiveWorkShop.com,2016-03,62581,LeakCheck.io
LucasForums.com,2016-04,154043,LeakCheck.io
MMOGames.com,,86042,LeakCheck.io
MMOKings.com,2014-11,82351,LeakCheck.io
Mumayi.com,2011-04,127630,LeakCheck.io
MSPAforums.com,2016-02,242520,LeakCheck.io
NordicGames.at,2016-02,644952,LeakCheck.io
OnVerse.com,2015-12,804258,LeakCheck.io
Pokebip.com,2015-07,555085,LeakCheck.io
OverPro.ru,,79707,LeakCheck.io
OwnedCore.com,2013-07,882078,LeakCheck.io
PlayInter.com,2016-07,142797,LeakCheck.io
PSPISO.com,2015-09,1175296,LeakCheck.io
PSX-Scene.com,2016-04,361712,LeakCheck.io
RSBoards.com,2013-07,211690,LeakCheck.io
RuneCrypt.com,,23375,LeakCheck.io
Solomid.net,2014-10,437072,LeakCheck.io
PS3Hax.net,2015-07,442216,LeakCheck.io
Rewardit.com,,95755,LeakCheck.io
TFPortal.de,,6310,LeakCheck.io
Sythe.org,2014-10,200540,LeakCheck.io
Tip.it,2006-11,149589,LeakCheck.io
VIPenguin.com,2016-06,38314,LeakCheck.io
WarcraftMovies.com,2015-11,335340,LeakCheck.io
WarSeer.com,2016-06,69521,LeakCheck.io
WiiUISO.com,2015-08,457251,LeakCheck.io
Xbox-Scene.com,2015-02,437460,LeakCheck.io
Xbox360ISO.com,2015-09,1399957,LeakCheck.io
Xsyon.com,2016-11,58896,LeakCheck.io
Zybez.net,2016-01,106083,LeakCheck.io
17.media,2016-02,3908470,LeakCheck.io
ABC.net.au,2013-01,46984,LeakCheck.io
Anime-Planet.net,2016-01,358481,LeakCheck.io
AnimuTank.com,2015-12,135973,LeakCheck.io
AutoCentrum.pl,2018-02,143479,LeakCheck.io
AutoHotKey.com,2015-01,34711,LeakCheck.io
Avast.com,2014-05,448870,LeakCheck.io
Badoo.com,2013-07,123627886,LeakCheck.io
BitTorrent.com,2015-12,33766,LeakCheck.io
BloggToppen.se,,89436,LeakCheck.io
Bolt.cd,2017-03,994134,LeakCheck.io
BTCF.fi,2016-03,3220,LeakCheck.io
BTUN.net,2012-11,111239,LeakCheck.io
CardingMafia.ws,2016-01,177448,LeakCheck.io
ClickPay24.ru,,2436,LeakCheck.io
CrackingForum.com,2014-11,562023,LeakCheck.io
Daemon-Tools.сс,,169875,LeakCheck.io
DaFont.com,2017-05,672274,LeakCheck.io
DFB.de,,2657504,LeakCheck.io
DrinkSite.com,2015-11,179737,LeakCheck.io
Dropbox.com,2012-07,28633388,LeakCheck.io
DTBooterCompilation,,91854,LeakCheck.io
EAPMovies.com,,73397,LeakCheck.io
EazySubs.com,2011-09,40081,LeakCheck.io
Education.Zyxel.com,,29068,LeakCheck.io
EliteFitness.com,2015-11,334735,LeakCheck.io
Collection 1,2019-01,231012239,LeakCheck.io
Eroticy.com,2015-05,1534366,LeakCheck.io
EsandarecRuitment.com,,9277,LeakCheck.io
FL.ru,2015-01,113866,LeakCheck.io
FoN,,26266,LeakCheck.io
ForumFree.it,2016-05,892832,LeakCheck.io
FrumTeens.com,,10932,LeakCheck.io
GiorGiotave.it,,60081,LeakCheck.io
GratisGodis.se,,254108,LeakCheck.io
HostSearch.com,2015-09,55889,LeakCheck.io
Im286.net,2016-10,334280,LeakCheck.io
InBoot.me,2016-06,75811,LeakCheck.io
InterPals.net,2015-11,3053999,LeakCheck.io
Izzit.org,2016-01,224079,LeakCheck.io
Libero.it,2016-06,417805,LeakCheck.io
LifeTip.iCross.co.kr,2017-03,1045373,LeakCheck.io
LovingFerrets.com,2016-01,134978,LeakCheck.io
MajorGeeks.com,2015-11,267620,LeakCheck.io
MalwareBytes.org,2014-11,111747,LeakCheck.io
MangaFox.me,2016-07,1310864,LeakCheck.io
MechoDownload.com,2013-09,430952,LeakCheck.io
MilitarySingles.com,,142551,LeakCheck.io
MoDaCo.com,2015-12,880166,LeakCheck.io
MuslimMatch.com,2016-05,50571,LeakCheck.io
MyRepoSpace.com,2015-03,252568,LeakCheck.io
NodusGriefing.com,2012-11,42090,LeakCheck.io
Nulled.io,2016-05,518072,LeakCheck.io
OshoWorld.com,,57190,LeakCheck.io
Oulfa.fr,2014-11,264804,LeakCheck.io
OwnagePranks.com,2016-07,114722,LeakCheck.io
PCMasters.de,2016-06,37975,LeakCheck.io
Planet3dnow.de,2016-08,46884,LeakCheck.io
Plex.tv,2014-11,313139,LeakCheck.io
PPCGeeks.com,2016-07,297475,LeakCheck.io
ProgrammingForums.org,2014-11,696232,LeakCheck.io
RemoteStaff.com.au,2016-02,72932,LeakCheck.io
RN.org,2016-01,259214,LeakCheck.io
Scam.com,2015-11,400231,LeakCheck.io
Sciax2.it,,221109,LeakCheck.io
Sensimillalebest,2016-03,15942,LeakCheck.io
Short-Fiction.co.uk,2016-04,11063,LeakCheck.io
ShowMe.com,2016-11,452692,LeakCheck.io
Sirumem.com,2015-08,70466,LeakCheck.io
Superbetter.com,2016-12,34850,LeakCheck.io
TheBot.net,2012-07,90496,LeakCheck.io
TienGanh.com.vn,,384212,LeakCheck.io
TodoTorrents.com,,521171,LeakCheck.io
Torrent-Invites.com,2016-07,318641,LeakCheck.io
