"BreachName","Data"
"Ene-green.com","Email, Password"
"Energybay.org","Email, Password"
"Enoty.eu","Email, Hash"
"Enrichlivingnow.com","Email, Password"
"Enrichment.org","Email, Hash"
"Epicbot.com","DOB, Email, Hash, IP1, Salt, Username"
"Es.abags.cn","Email, Hash"
"Esavs.net","Email, Password"
"Escolanauticamorretes.com.br","Email, Password"
"Escortdimension.net","Email, Hash"
"Espressostories.com","Email, Password"
"Etf.capitallink.com","Email, Password"
"Eumed.net","Email, Hash"
"Eurobeat-prime.com","Email, Hash"
"Eveshamphoto.net","Email, Hash"
"Examwitharihant.com","Email, Password"
"Exmid.com","Email, Hash"
"Expat.ru","Email, Hash"
"Extranet.cnfpt-centre.fr","Email, Hash"
"Extreme-forum.net","Email, Hash, Salt, Username"
"Faes2.hospedagemdesites.ws","Email, Hash"
"Fairhotel-jena.de","Email, Password"
"Falcarmc.net","Email, Username"
"Fantasyseriea.com","Email, Hash"
"Fantasysports777.com","Email, Hash"
"Farmchokchai.com","Email, Password"
"Faxator.com","Email, First, IP1, Password, Phone"
"Festivalsalvadoreno.com","Email, Hash"
"Fgxstresser.com","Email, Username"
"Fightforflint.org","Email, Password"
"Filmleaf.net","Email, Hash, Salt, Username"
"Fineartworld.com","Email, Hash"
"Finianz.de","Email, Password"
"Fishin.rs","Email, Hash, Username"
"Fishing.co.uk","Email, Hash"
"Fishingboard.net","Email, Hash, Salt, Username"
"Fishkeepers.net","Email, Password"
"Fivb.org","Email, Password"
"Flaid.pair.com","Email, Password"
"Fldnet.dk","Email, Password"
"Flexiloans.com","DOB, Email, First, Hash, Last, Phone, Username"
"Floorfittingsolutions.co.uk","Email, Hash"
"Flykending.dk","Email, Hash"
"Flylabs","Email, Password"
"Focusfeatures.com","Email, Password"
"Focusintlmanpower.com","Email, Password"
"Foodstrade.com","Email, Password"
"Forceonline.com","Email, Password"
"Foroaps.org","Email, Password"
"Forum.hogwartz.ir","Email, Hash, Salt, Username"
"Forum.jdmstyletuning.com","Email, Hash, Salt, Username"
"Forum.parfumshik.ru","Email, Hash"
"Forum.pitofwar.com","Email, Hash, Salt, Username"
"Forum.rompvp.com","Email, Hash, Salt, Username"
"Forum.tablet.bg","Email, Hash, IP1, Salt, Username"
"Forumptd.com","Email, Hash, Username"
"Forums.gotwoot.net","Email, Hash, Salt, Username"
